city,year,weekofyear,total_cases
iq,2010,35,11
iq,2010,36,11
iq,2010,37,9
iq,2010,38,9
iq,2010,39,11
iq,2010,40,11
iq,2010,41,9
iq,2010,42,9
iq,2010,43,9
iq,2010,44,9
iq,2010,45,8
iq,2010,46,10
iq,2010,47,10
iq,2010,48,9
iq,2010,49,10
iq,2010,50,9
iq,2010,51,9
iq,2011,52,14
iq,2011,1,9
iq,2011,2,10
iq,2011,3,10
iq,2011,4,9
iq,2011,5,9
iq,2011,6,9
iq,2011,7,10
iq,2011,8,10
iq,2011,9,10
iq,2011,10,10
iq,2011,11,10
iq,2011,12,10
iq,2011,13,10
iq,2011,14,10
iq,2011,15,9
iq,2011,16,9
iq,2011,17,10
iq,2011,18,10
iq,2011,19,8
iq,2011,20,10
iq,2011,21,15
iq,2011,22,17
iq,2011,23,15
iq,2011,24,15
iq,2011,25,15
iq,2011,26,15
iq,2011,27,15
iq,2011,28,15
iq,2011,29,8
iq,2011,30,8
iq,2011,31,8
iq,2011,32,8
iq,2011,33,8
iq,2011,34,8
iq,2011,35,8
iq,2011,36,8
iq,2011,37,9
iq,2011,38,8
iq,2011,39,16
iq,2011,40,9
iq,2011,41,10
iq,2011,42,13
iq,2011,43,8
iq,2011,44,8
iq,2011,45,9
iq,2011,46,10
iq,2011,47,10
iq,2011,48,10
iq,2011,49,10
iq,2011,50,10
iq,2011,51,10
iq,2012,52,10
iq,2012,1,15
iq,2012,2,10
iq,2012,3,10
iq,2012,4,9
iq,2012,5,9
iq,2012,6,10
iq,2012,7,10
iq,2012,8,9
iq,2012,9,8
iq,2012,10,10
iq,2012,11,8
iq,2012,12,9
iq,2012,13,10
iq,2012,14,8
iq,2012,15,10
iq,2012,16,10
iq,2012,17,9
iq,2012,18,10
iq,2012,19,8
iq,2012,20,9
iq,2012,21,8
iq,2012,22,8
iq,2012,23,9
iq,2012,24,8
iq,2012,25,8
iq,2012,26,8
iq,2012,27,8
iq,2012,28,9
iq,2012,29,8
iq,2012,30,8
iq,2012,31,8
iq,2012,32,8
iq,2012,33,8
iq,2012,34,8
iq,2012,35,10
iq,2012,36,14
iq,2012,37,8
iq,2012,38,9
iq,2012,39,9
iq,2012,40,8
iq,2012,41,12
iq,2012,42,9
iq,2012,43,10
iq,2012,44,9
iq,2012,45,9
iq,2012,46,12
iq,2012,47,17
iq,2012,48,10
iq,2012,49,12
iq,2012,50,10
iq,2012,51,10
iq,2013,1,10
iq,2013,2,15
iq,2013,3,17
iq,2013,4,12
iq,2013,5,19
iq,2013,6,10
iq,2013,7,10
iq,2013,8,10
iq,2013,9,10
iq,2013,10,10
iq,2013,11,12
iq,2013,12,10
iq,2013,13,10
iq,2013,14,10
iq,2013,15,10
iq,2013,16,10
iq,2013,17,10
iq,2013,18,8
iq,2013,19,10
iq,2013,20,10
iq,2013,21,10
iq,2013,22,9
iq,2013,23,9
iq,2013,24,8
iq,2013,25,9
iq,2013,26,8
