city,year,weekofyear,total_cases
sj,2011,15,11
sj,2011,16,20
sj,2011,17,5
sj,2011,18,17
sj,2011,19,15
sj,2011,20,20
sj,2011,21,25
sj,2011,22,26
sj,2011,23,29
sj,2011,24,27
sj,2011,25,27
sj,2011,26,44
sj,2011,27,30
sj,2011,28,44
sj,2011,29,33
sj,2011,30,53
sj,2011,31,42
sj,2011,32,48
sj,2011,33,30
sj,2011,34,55
sj,2011,35,30
sj,2011,36,55
sj,2011,37,60
sj,2011,38,35
sj,2011,39,25
sj,2011,40,56
sj,2011,41,43
sj,2011,42,21
sj,2011,43,12
sj,2011,44,27
sj,2011,45,16
sj,2011,46,21
sj,2011,47,19
sj,2011,48,21
sj,2011,49,26
sj,2011,50,19
sj,2011,51,25
sj,2012,52,29
sj,2012,1,20
sj,2012,2,13
sj,2012,3,13
sj,2012,4,23
sj,2012,5,20
sj,2012,6,18
sj,2012,7,5
sj,2012,8,12
sj,2012,9,7
sj,2012,10,10
sj,2012,11,11
sj,2012,12,10
sj,2012,13,17
sj,2012,14,16
sj,2012,15,14
sj,2012,16,19
sj,2012,17,9
sj,2012,18,23
sj,2012,19,21
sj,2012,20,37
sj,2012,21,10
sj,2012,22,8
sj,2012,23,13
sj,2012,24,16
sj,2012,25,34
sj,2012,26,18
sj,2012,27,22
sj,2012,28,32
sj,2012,29,35
sj,2012,30,25
sj,2012,31,35
sj,2012,32,45
sj,2012,33,20
sj,2012,34,35
sj,2012,35,25
sj,2012,36,38
sj,2012,37,36
sj,2012,38,35
sj,2012,39,72
sj,2012,40,31
sj,2012,41,38
sj,2012,42,43
sj,2012,43,54
sj,2012,44,17
sj,2012,45,27
sj,2012,46,30
sj,2012,47,46
sj,2012,48,16
sj,2012,49,19
sj,2012,50,26
sj,2012,51,17
sj,2013,1,10
sj,2013,2,20
sj,2013,3,15
sj,2013,4,6
sj,2013,5,7
sj,2013,6,15
sj,2013,7,15
sj,2013,8,7
sj,2013,9,5
sj,2013,10,27
sj,2013,11,18
sj,2013,12,5
sj,2013,13,12
sj,2013,14,6
sj,2013,15,10
sj,2013,16,11
sj,2013,17,13
iq,2010,26,9
iq,2010,27,4
iq,2010,28,3
iq,2010,29,5
iq,2010,30,3
iq,2010,31,2
iq,2010,32,2
iq,2010,33,0
iq,2010,34,0
iq,2010,35,2
iq,2010,36,3
iq,2010,37,1
iq,2010,38,6
iq,2010,39,5
iq,2010,40,3
iq,2010,41,5
iq,2010,42,5
iq,2010,43,4
iq,2010,44,6
iq,2010,45,5
iq,2010,46,5
iq,2010,47,10
iq,2010,48,5
iq,2010,49,7
iq,2010,50,10
iq,2010,51,6
iq,2011,52,2
iq,2011,1,3
iq,2011,2,9
iq,2011,3,3
iq,2011,4,0
iq,2011,5,2
iq,2011,6,0
iq,2011,7,8
iq,2011,8,8
iq,2011,9,8
iq,2011,10,3
iq,2011,11,3
iq,2011,12,9
iq,2011,13,8
iq,2011,14,7
iq,2011,15,3
iq,2011,16,2
iq,2011,17,5
iq,2011,18,6
iq,2011,19,2
iq,2011,20,2
iq,2011,21,4
iq,2011,22,2
iq,2011,23,2
iq,2011,24,6
iq,2011,25,2
iq,2011,26,2
iq,2011,27,1
iq,2011,28,2
iq,2011,29,2
iq,2011,30,1
iq,2011,31,3
iq,2011,32,2
iq,2011,33,2
iq,2011,34,3
iq,2011,35,2
iq,2011,36,1
iq,2011,37,3
iq,2011,38,5
iq,2011,39,6
iq,2011,40,2
iq,2011,41,4
iq,2011,42,7
iq,2011,43,5
iq,2011,44,2
iq,2011,45,0
iq,2011,46,9
iq,2011,47,6
iq,2011,48,5
iq,2011,49,5
iq,2011,50,5
iq,2011,51,5
iq,2012,52,5
iq,2012,1,2
iq,2012,2,5
iq,2012,3,4
iq,2012,4,4
iq,2012,5,7
iq,2012,6,5
iq,2012,7,5
iq,2012,8,4
iq,2012,9,1
iq,2012,10,5
iq,2012,11,2
iq,2012,12,3
iq,2012,13,9
iq,2012,14,2
iq,2012,15,7
iq,2012,16,8
iq,2012,17,5
iq,2012,18,7
iq,2012,19,2
iq,2012,20,5
iq,2012,21,3
iq,2012,22,4
iq,2012,23,4
iq,2012,24,2
iq,2012,25,2
iq,2012,26,2
iq,2012,27,3
iq,2012,28,2
iq,2012,29,4
iq,2012,30,5
iq,2012,31,0
iq,2012,32,5
iq,2012,33,5
iq,2012,34,5
iq,2012,35,1
iq,2012,36,5
iq,2012,37,5
iq,2012,38,5
iq,2012,39,2
iq,2012,40,2
iq,2012,41,6
iq,2012,42,3
iq,2012,43,6
iq,2012,44,5
iq,2012,45,9
iq,2012,46,7
iq,2012,47,8
iq,2012,48,8
iq,2012,49,7
iq,2012,50,5
iq,2012,51,5
iq,2013,1,6
iq,2013,2,1
iq,2013,3,5
iq,2013,4,9
iq,2013,5,5
iq,2013,6,6
iq,2013,7,6
iq,2013,8,8
iq,2013,9,3
iq,2013,10,6
iq,2013,11,9
iq,2013,12,8
iq,2013,13,7
iq,2013,14,10
iq,2013,15,5
iq,2013,16,5
iq,2013,17,3
iq,2013,18,3
iq,2013,19,6
iq,2013,20,6
iq,2013,21,4
iq,2013,22,4
iq,2013,23,4
iq,2013,24,2
iq,2013,25,4
iq,2013,26,4
