city,year,weekofyear,total_cases
iq,2012,34,4
iq,2012,35,4
iq,2012,36,4
iq,2012,37,5
iq,2012,38,6
iq,2012,39,8
iq,2012,40,8
iq,2012,41,9
iq,2012,42,11
iq,2012,43,12
iq,2012,44,12
iq,2012,45,10
iq,2012,46,8
iq,2012,47,9
iq,2012,48,13
iq,2012,49,16
iq,2012,50,16
iq,2012,51,12
iq,2013,1,7
iq,2013,2,5
iq,2013,3,9
iq,2013,4,13
iq,2013,5,15
iq,2013,6,14
iq,2013,7,13
iq,2013,8,12
iq,2013,9,12
iq,2013,10,12
iq,2013,11,9
iq,2013,12,7
iq,2013,13,6
iq,2013,14,6
iq,2013,15,6
iq,2013,16,6
iq,2013,17,5
iq,2013,18,5
iq,2013,19,5
iq,2013,20,5
iq,2013,21,4
iq,2013,22,4
iq,2013,23,3
iq,2013,24,3
iq,2013,25,3
iq,2013,26,3
